No,Judul Berita,Tautan,Kategori
1,"Susul Italia, Denmark Juga Di-lockdown Imbas Virus Corona",https://health.detik.com/berita-detikhealth/d-4935778/susul-italia-denmark-juga-di-lockdown-imbas-virus-corona,health
2,Mungkinkah Virus Corona Aktif Lagi Setelah Pasien Dinyatakan Sembuh?,https://health.detik.com/berita-detikhealth/d-4978767/mungkinkah-virus-corona-aktif-lagi-setelah-pasien-dinyatakan-sembuh,health
3,"Sebaran Kasus Corona RI 9 Juni, 11.414 Sembuh dan 1.923 Meninggal",https://health.detik.com/berita-detikhealth/d-5046688/sebaran-kasus-corona-ri-9-juni-11414-sembuh-dan-1923-meninggal,health
4,"Kisah Pasien 03, Buka-bukaan Awal Tertular Virus Corona Sampai Sembuh",https://health.detik.com/berita-detikhealth/d-4944235/kisah-pasien-03-buka-bukaan-awal-tertular-virus-corona-sampai-sembuh,health
5,4 Variasi Seks Ketika Penetrasi Biasa Terasa Menyiksa,https://health.detik.com/sexual-health/d-4947758/4-variasi-seks-ketika-penetrasi-biasa-terasa-menyiksa,health
6,Ibu dan Anak Berhasil Melarikan Diri dari Pusat Wabah Virus Corona,https://health.detik.com/berita-detikhealth/d-4914047/ibu-dan-anak-berhasil-melarikan-diri-dari-pusat-wabah-virus-corona,health
7,Pria Ini Bikin Sendiri Hazmat 'Anti Corona' dari Kantong Plastik Sampah,https://health.detik.com/berita-detikhealth/d-4953547/pria-ini-bikin-sendiri-hazmat-anti-corona-dari-kantong-plastik-sampah,health
8,Berapa Lama Virus Corona Bertahan di Dalam Tubuh?,https://health.detik.com/berita-detikhealth/d-5041425/berapa-lama-virus-corona-bertahan-di-dalam-tubuh,health
9,Plus-Minus dan Hal Penting Lain Soal Masker Kain yang Kini Wajib Dipakai,https://health.detik.com/berita-detikhealth/d-4966551/plus-minus-dan-hal-penting-lain-soal-masker-kain-yang-kini-wajib-dipakai,health
10,"Viral Tegal Pesta Kembang Api, Berakhirnya PSBB Bukan Berarti Aman Corona",https://health.detik.com/berita-detikhealth/d-5024391/viral-tegal-pesta-kembang-api-berakhirnya-psbb-bukan-berarti-aman-corona,health
11,Catat! Ini Bahan-bahan untuk Membuat Hand Sanitizer Menurut WHO,https://health.detik.com/berita-detikhealth/d-4959120/catat-ini-bahan-bahan-untuk-membuat-hand-sanitizer-menurut-who,health
12,Duka Cita untuk Para Dokter yang Meninggal Saat Pandemi Virus Corona,https://health.detik.com/berita-detikhealth/d-4949400/duka-cita-untuk-para-dokter-yang-meninggal-saat-pandemi-virus-corona,health
13,"Minder Punya Mr P Kecil? Faktanya, Pasangan Malah Lebih Terpuaskan",https://health.detik.com/sexual-health/d-4843211/minder-punya-mr-p-kecil-faktanya-pasangan-malah-lebih-terpuaskan,health
14,4 Mitos Keperawanan yang Katanya Akan Dilelang Sarah Salsabila,https://health.detik.com/berita-detikhealth/d-5023213/4-mitos-keperawanan-yang-katanya-akan-dilelang-sarah-salsabila,health
15,"Positif Corona Gegara Buka Peti, Begini Pemulasaran Jenazah Sesuai Fatwa MUI",https://health.detik.com/berita-detikhealth/d-5018860/positif-corona-gegara-buka-peti-begini-pemulasaran-jenazah-sesuai-fatwa-mui,health
16,Peneliti FTUI Kembangkan Propolis Sebagai Penangkal Corona,https://health.detik.com/detiktv/d-4927261/peneliti-ftui-kembangkan-propolis-sebagai-penangkal-corona,health
17,"Disebut Bisa Cegah Penyebaran Virus Corona, Apa Itu Social Distancing?",https://health.detik.com/berita-detikhealth/d-4939205/disebut-bisa-cegah-penyebaran-virus-corona-apa-itu-social-distancing,health
18,"Sambut New Normal, Kesehatan Fisik & Mental Sama-sama Penting",https://health.detik.com/berita-detikhealth/d-5043762/sambut-new-normal-kesehatan-fisik--mental-sama-sama-penting,health
19,"Cuma Sekali Pakai, Begini Nasib Baju Hazmat Setelah Tak Digunakan",https://health.detik.com/berita-detikhealth/d-4954715/cuma-sekali-pakai-begini-nasib-baju-hazmat-setelah-tak-digunakan,health
20,5 Cara Taklukkan Pasangan Saat Bercinta,https://health.detik.com/sexual-health/d-5003684/5-cara-taklukkan-pasangan-saat-bercinta,health
21,"Mal Bakal Buka Lagi, Ini Protokol 'New Normal' untuk Cegah Corona",https://health.detik.com/berita-detikhealth/d-5037711/mal-bakal-buka-lagi-ini-protokol-new-normal-untuk-cegah-corona,health
22,4 Alasan Mengapa Seseorang Bisa Terobsesi Pada Seks,https://health.detik.com/sexual-health/d-4958894/4-alasan-mengapa-seseorang-bisa-terobsesi-pada-seks,health
23,"Bertambah Lagi, Dua Dokter Indonesia Meninggal karena Virus Corona",https://health.detik.com/berita-detikhealth/d-4955383/bertambah-lagi-dua-dokter-indonesia-meninggal-karena-virus-corona,health
24,Bolehkah Kelompok Rentan Terinfeksi Corona Berpuasa Penuh Saat Ramadhan?,https://health.detik.com/berita-detikhealth/d-4989263/bolehkah-kelompok-rentan-terinfeksi-corona-berpuasa-penuh-saat-ramadhan,health
25,Mobile JKN Mudahkan Layanan BPJS Kesehatan Tanpa Keluar Rumah,https://health.detik.com/infografis/d-4971111/mobile-jkn-mudahkan-layanan-bpjs-kesehatan-tanpa-keluar-rumah,health
26,Deretan Dokter Pejuang Corona yang Meninggal,https://health.detik.com/detiktv/d-4918030/deretan-dokter-pejuang-corona-yang-meninggal,health
27,Sosok Berperawakan Mirip Kim Jong Un Munculkan Spekulasi 'Body Double',https://health.detik.com/berita-detikhealth/d-5007455/sosok-berperawakan-mirip-kim-jong-un-munculkan-spekulasi-body-double,health
28,"Anak 15 Tahun Tewas Karena Vape di AS, Jadi Korban Termuda",https://health.detik.com/berita-detikhealth/d-4853663/anak-15-tahun-tewas-karena-vape-di-as-jadi-korban-termuda,health
29,"Selain Corona, 5 Virus Ini Juga Ditemukan di Cairan Sperma",https://health.detik.com/fotohealth/d-5008975/selain-corona-5-virus-ini-juga-ditemukan-di-cairan-sperma,health
30,"Yakin Bisa Kendalikan Corona, Singapura Tak Terapkan Lockdown",https://health.detik.com/berita-detikhealth/d-4937533/yakin-bisa-kendalikan-corona-singapura-tak-terapkan-lockdown,health
31,"Anak-anak Berenang di Genangan Air Banjir, Waspadai Risikonya",https://health.detik.com/berita-detikhealth/d-4842689/anak-anak-berenang-di-genangan-air-banjir-waspadai-risikonya,health
32,"ITB Perbaharui Prediksi, Puncak Corona RI Diperkirakan Mundur ke Mei",https://health.detik.com/berita-detikhealth/d-4948432/itb-perbaharui-prediksi-puncak-corona-ri-diperkirakan-mundur-ke-mei,health
33,Ini Lho Jenis Batu Empedu yang Sering Dikira Boba,https://health.detik.com/berita-detikhealth/d-4866078/ini-lho-jenis-batu-empedu-yang-sering-dikira-boba,health
34,Kandungan Kalsium pada Pisang Baik untuk Tulang Si Kecil,https://health.detik.com/berita-detikhealth/d-4957963/kandungan-kalsium-pada-pisang-baik-untuk-tulang-si-kecil,health
35,"Mengenal Ad5-nCov, Vaksin Corona untuk Antibodi COVID-19",https://health.detik.com/detiktv/d-5033635/mengenal-ad5-ncov-vaksin-corona-untuk-antibodi-covid-19,health
36,"Jenis-jenis Pertolongan Henti Jantung, Kondisi yang Dialami Didi Kempot",https://health.detik.com/berita-detikhealth/d-5002806/jenis-jenis-pertolongan-henti-jantung-kondisi-yang-dialami-didi-kempot,health
37,Benarkah DBD Bisa Menular Lewat Hubungan Seks? Ini Kata Ahlinya,https://health.detik.com/berita-detikhealth/d-4857782/benarkah-dbd-bisa-menular-lewat-hubungan-seks-ini-kata-ahlinya,health
38,WHO Peringatkan Lonjakan Kasus Corona di Negara yang Longgarkan Lockdown,https://health.detik.com/berita-detikhealth/d-5011139/who-peringatkan-lonjakan-kasus-corona-di-negara-yang-longgarkan-lockdown,health
39,"Sama-sama Lewat Droplet, Ini Bedanya Penularan TBC dan Virus Corona",https://health.detik.com/berita-detikhealth/d-4951401/sama-sama-lewat-droplet-ini-bedanya-penularan-tbc-dan-virus-corona,health
40,"8 Sembuh dan 5 Meninggal Terkait Corona di Indonesia, Ini Detailnya",https://health.detik.com/berita-detikhealth/d-4939621/8-sembuh-dan-5-meninggal-terkait-corona-di-indonesia-ini-detailnya,health
41,Viral Hoax Jemaah Indonesia Ditolak Arab Saudi karena Positif Corona,https://health.detik.com/berita-detikhealth/d-4918073/viral-hoax-jemaah-indonesia-ditolak-arab-saudi-karena-positif-corona,health
42,"'Indonesia Terserah' Viral Gara-gara Corona, Tandanya Pasrah atau Marah?",https://health.detik.com/berita-detikhealth/d-5018927/indonesia-terserah-viral-gara-gara-corona-tandanya-pasrah-atau-marah,health
43,Studi Temukan Orang yang Doyan Minum Kopi Tulangnya Lebih Padat,https://health.detik.com/berita-detikhealth/d-4913939/studi-temukan-orang-yang-doyan-minum-kopi-tulangnya-lebih-padat,health
44,Kontroversi Terkini WHO: Penularan Virus Corona pada OTG Jarang Terjadi?,https://health.detik.com/berita-detikhealth/d-5047384/kontroversi-terkini-who-penularan-virus-corona-pada-otg-jarang-terjadi,health
45,WHO Setop Sementara Uji Coba Hydroxychloroquine untuk Pasien Corona,https://health.detik.com/berita-detikhealth/d-5028339/who-setop-sementara-uji-coba-hydroxychloroquine-untuk-pasien-corona,health
46,"RS Darurat Ditutup, Staf Medis di Wuhan Rayakan dengan Lepas Masker",https://health.detik.com/berita-detikhealth/d-4939719/rs-darurat-ditutup-staf-medis-di-wuhan-rayakan-dengan-lepas-masker,health
47,Korsel Yakini Pasien Corona yang Positif Usai Sembuh Tak Lagi Tularkan COVID-19,https://health.detik.com/berita-detikhealth/d-4989418/korsel-yakini-pasien-corona-yang-positif-usai-sembuh-tak-lagi-tularkan-covid-19,health
48,"Jalani Karantina di Hotel Bintang Lima, Wanita Ini Malah Merasa Depresi",https://health.detik.com/berita-detikhealth/d-4972159/jalani-karantina-di-hotel-bintang-lima-wanita-ini-malah-merasa-depresi,health
49,"13 Negara Terjangkit Virus Korona, Pasien Pertama yang Sembuh di Wuhan",https://health.detik.com/berita-detikhealth/d-4875678/13-negara-terjangkit-virus-korona-pasien-pertama-yang-sembuh-di-wuhan,health
50,"Lockdown 15 Hari, Prancis Umumkan 'Perang' Lawan Virus Corona",https://health.detik.com/berita-detikhealth/d-4941976/lockdown-15-hari-prancis-umumkan-perang-lawan-virus-corona,health
51,"Viral 2 Suspek Corona di Klaten, Dinkes Pastikan Hoax",https://health.detik.com/berita-detikhealth/d-4927487/viral-2-suspek-corona-di-klaten-dinkes-pastikan-hoax,health
52,3 Cara Meminimalkan Stigma Negatif Soal Corona,https://health.detik.com/berita-detikhealth/d-4997873/3-cara-meminimalkan-stigma-negatif-soal-corona,health
53,"Kenali Alkylglycerols, Zat Ampuh Perkuat Imunitas Tubuh",https://health.detik.com/berita-detikhealth/d-4906876/kenali-alkylglycerols-zat-ampuh-perkuat-imunitas-tubuh,health
54,Ratusan Orang di Ghana Disebut Tertular Corona dari Seorang Pekerja Pabrik,https://health.detik.com/berita-detikhealth/d-5009990/ratusan-orang-di-ghana-disebut-tertular-corona-dari-seorang-pekerja-pabrik,health
